585.6,146
585.601,138
585.601,162
585.601,148
585.602,162
585.603,118
585.603,98
585.604,148
585.604,110
585.605,108
585.605,152
585.606,114
585.606,146
585.606,146
585.607,132
585.608,158
585.608,116
585.609,148
585.609,140
585.61,100
585.61,116
585.611,132
585.611,130
585.611,130
585.612,122
585.613,122
585.613,112
585.614,116
585.614,128
585.615,122
585.615,132
585.615,130
585.616,182
585.616,134
585.617,148
585.618,124
585.618,124
585.619,124
585.619,154
585.62,154
585.62,156
585.62,166
585.621,156
585.621,146
585.622,138
585.623,114
585.623,128
585.624,128
585.624,126
585.625,156
585.625,126
585.625,154
585.626,166
585.627,132
585.627,132
585.628,132
585.628,122
585.629,148
585.629,126
585.63,152
585.63,142
585.63,136
585.631,114
585.632,134
585.632,166
585.633,136
585.633,170
585.634,150
585.634,156
585.635,156
585.635,146
585.635,134
585.636,174
585.637,174
585.637,124
585.638,138
585.638,172
585.639,160
585.639,102
585.639,148
585.64,174
585.64,138
585.641,138
585.642,156
585.642,118
585.643,112
585.643,132
585.644,142
585.644,144
585.644,148
585.645,142
585.645,148
585.646,124
585.647,172
585.647,94
585.648,180
585.648,174
585.649,134
585.649,158
585.649,132
585.65,134
585.651,188
585.651,170
585.652,142
585.652,160
585.653,158
585.653,188
585.654,168
585.654,168
585.654,182
585.655,134
585.656,150
585.656,164
585.657,180
585.657,166
585.658,180
585.658,142
585.659,156
585.659,172
585.659,178
585.66,178
585.661,168
585.661,164
585.662,168
585.662,176
585.663,182
585.663,190
585.663,182
585.664,198
585.664,196
585.665,204
585.666,164
585.666,170
585.667,196
585.667,212
585.668,200
585.668,222
585.668,194
585.669,220
585.669,224
585.67,176
585.671,230
585.671,248
585.672,258
585.672,256
585.673,248
585.673,266
585.673,268
585.674,280
585.674,370
585.675,360
585.676,340
585.676,336
585.677,424
585.677,450
585.678,490
585.678,464
585.678,540
585.679,578
585.68,650
585.68,658
585.681,728
585.681,852
585.682,982
585.682,1100
585.683,1156
585.683,1348
585.683,1362
585.684,1638
585.685,1770
585.685,2040
585.686,2294
585.686,2162
585.687,2454
585.687,2876
585.688,3028
585.688,3422
585.688,3450
585.689,3858
585.69,3978
585.69,4482
585.691,4374
585.691,4748
585.692,4836
585.692,5074
585.692,5154
585.693,5102
585.693,5250
585.694,5460
585.695,5434
585.695,5234
585.696,5140
585.696,5144
585.697,5078
585.697,5126
585.697,4888
585.698,4672
585.698,4464
585.699,4202
585.7,4102
585.7,3800
585.701,3492
585.701,3292
585.702,3174
585.702,2934
585.702,2512
585.703,2292
585.704,2092
585.704,1920
585.705,1704
585.705,1548
585.706,1410
585.706,1220
585.707,1070
585.707,1068
585.707,908
585.708,774
585.709,718
585.709,630
585.71,564
585.71,540
585.711,482
585.711,378
585.712,438
585.712,398
585.712,282
585.713,348
585.714,328
585.714,354
585.715,298
585.715,248
585.716,264
585.716,274
585.716,194
585.717,260
585.717,220
585.718,222
585.719,204
585.719,214
585.72,286
585.72,204
585.721,202
585.721,192
585.721,166
585.722,176
585.722,178
585.723,212
585.724,156
585.724,154
585.725,174
585.725,174
585.726,176
585.726,194
585.726,192
585.727,182
585.728,168
585.728,184
585.729,194
585.729,142
585.73,168
585.73,158
585.731,188
585.731,154
585.731,158
585.732,176
585.733,158
585.733,194
585.734,158
585.734,132
585.735,158
585.735,142
585.736,152
585.736,138
585.736,142
585.737,160
585.738,170
585.738,166
585.739,128
585.739,168
585.74,158
585.74,142
585.74,148
585.741,152
585.741,178
585.742,146
585.743,130
585.743,164
585.744,134
585.744,142
585.745,150
585.745,138
585.745,138
585.746,162
585.746,178
585.747,140
585.748,144
585.748,140
585.749,134
585.749,186
585.75,146
585.75,130
585.75,162
585.751,140
585.752,164
585.752,148
585.753,156
585.753,138
585.754,148
585.754,120
585.755,148
585.755,138
585.755,134
585.756,138
585.757,168
585.757,136
585.758,138
585.758,134
585.759,154
585.759,130
585.76,122
585.76,160
585.76,156
585.761,154
585.762,176
585.762,152
585.763,162
585.763,126
585.764,136
585.764,180
585.764,118
585.765,148
585.765,148
585.766,144
585.767,134
585.767,158
585.768,156
585.768,152
585.769,150
585.769,130
585.769,128
585.77,118
585.77,166
585.771,146
585.772,164
585.772,154
585.773,140
585.773,140
585.774,146
585.774,142
585.774,132
585.775,160
585.776,164
585.776,118
585.777,140
585.777,128
585.778,158
585.778,124
585.779,132
585.779,136
585.779,122
585.78,128
585.781,142
585.781,160
585.782,118
585.782,138
585.783,116
585.783,146
585.784,138
585.784,120
585.784,138
585.785,140
585.786,120
585.786,116
585.787,176
585.787,134
585.788,112
585.788,150
585.788,172
585.789,120
585.789,174
585.79,208
585.791,122
585.791,134
585.792,146
585.792,154
585.793,126
585.793,162
585.793,122
585.794,134
585.794,142
585.795,116
585.796,130
585.796,142
585.797,144
585.797,138
585.798,116
585.798,130
585.798,142
585.799,172
585.799,110
585.8,142
