A B C D E F G H I J K L M N O A@2 S1@2 A@3 B@3 C1@3 C2@3 C3@3 C4@3 C5@3 C6@3 C7@3 C8@3 C9@3 C10@3 C11@3 C12@3 C13@3 C14@3 C15@3 C16@3 C17@3 C18@3 C19@3 C20@3 C21@3 C22@3 C23@3 C24@3 C25@3 C26@3 C27@3 C28@3 C29@3 C30@3 
embedding:Default14G 546.45 130  
546.451 128 
546.451 142 
546.452 148 
546.452 154 
546.453 126 
546.453 130 
546.454 148 
546.454 130 
546.455 162 
546.455 146 
546.456 140 
546.456 160 
546.457 144 
546.457 142 
546.458 174 
546.458 152 
546.459 130 
546.459 164 
546.46 150 
546.46 170 
546.461 158 
546.461 162 
546.462 148 
546.462 146 
546.463 174 
546.463 118 
546.464 182 
546.464 122 
546.465 134 
546.465 150 
Double click graph to do analysis 546.466 126 
Experiment Comments:  Instrument Info: User Comments: 546.466 146 
var://page.info.tree.HJYInfo.ExpSummary.Comment$ var://page.info.tree.HJYInfo.ExpSummary.Instrument$  EMF 320x240: 2136 bytes (0x50213D2D) 546.466 148 
546.467 178 
546.468 170 
546.468 168 
546.469 178 
546.469 184 
546.47 170 
546.47 168 
546.471 140 
546.471 160 
546.471 160 
546.472 162 
546.473 202 
546.473 158 
546.474 172 
546.474 160 
546.475 154 
546.475 158 
546.476 170 
546.476 154 
546.477 172 
546.477 144 
546.478 190 
546.478 158 
546.479 178 
546.479 162 
546.48 150 
546.48 186 
546.481 188 
546.481 182 
546.482 166 
546.482 188 
546.483 154 
546.483 186 
546.484 142 
546.484 186 
546.485 164 
546.485 192 
546.486 198 
546.486 194 
546.487 212 
546.487 222 
546.488 174 
546.488 196 
546.489 196 
546.489 212 
546.49 244 
546.49 244 
546.49 204 
546.491 260 
546.492 206 
546.492 206 
546.493 342 
546.493 340 
546.494 280 
546.494 360 
546.495 340 
546.495 376 
546.495 408 
546.496 440 
546.497 426 
546.497 506 
546.498 454 
546.498 512 
546.499 502 
546.499 520 
546.5 554 
546.5 584 












































































































































































































































































































