Vernier Format 2
November 1st cu 1 group 2	13:36  Friday, November 10, 2017
Latest
Time	Sound Level
Time	sound
min	volts

0.000000000	0.902499974
0.005000000	0.913749993
0.010000000	0.938749969
0.015000001	0.935000002
0.020000000	0.935000002
0.024999999	0.935000002
0.030000001	0.930000007
0.035000000	0.938749969
0.039999999	0.924999952
0.044999998	0.938749969
0.049999997	0.959999979
0.055000000	0.930000007
0.060000002	0.947499990
0.064999998	0.952499986
0.070000000	0.927499950
0.074999996	0.916249990
0.079999998	0.902499974
0.085000001	0.887499988
0.089999996	0.878749967
0.094999999	0.893749952
0.099999994	0.888749957
0.105000004	0.901250005
0.109999999	0.911249995
0.115000002	0.906250000
0.120000005	0.913749993
0.125000000	0.936249971
0.129999995	0.928749979
0.134999990	0.930000007
0.140000001	0.941249967
0.145000011	0.932500005
0.149999991	0.941249967
0.155000001	0.918749988
0.159999996	0.927499950
0.165000007	0.927499950
0.170000002	0.921249986
0.174999997	0.932500005
0.179999992	0.907499969
0.185000002	0.917499959
0.189999998	0.909999967
0.194999993	0.911249995
0.199999988	0.903750002
0.204999998	0.893749952
0.210000008	0.908749998
0.215000004	0.911249995
0.219999999	0.919999957
0.224999994	0.931249976
0.230000004	0.901250005
0.234999999	0.898750007
0.240000010	0.914999962
0.244999990	0.916249990
0.250000000	0.902499974
0.254999995	0.897499979
0.259999990	0.867500007
0.264999986	0.828749955
0.269999981	0.828749955
0.274999976	0.859999955
0.280000001	0.852499962
0.284999996	0.888749957
0.290000021	0.868749976
0.294999987	0.902499974
0.299999982	0.911249995
0.305000007	0.921249986
0.310000002	0.928749979
0.314999998	0.930000007
0.319999993	0.903750002
0.324999988	0.904999971
0.330000013	0.887499988
0.334999979	0.903750002
0.340000004	0.907499969
0.344999999	0.916249990
0.349999994	0.904999971
0.355000019	0.889999986
0.359999985	0.889999986
0.365000010	0.894999981
0.370000005	0.899999976
0.375000000	0.939999998
0.379999995	0.956249952
0.384999990	0.943749964
0.389999986	0.924999952
0.395000011	0.938749969
0.399999976	0.931249976
0.405000001	0.951249957
0.409999996	0.958749950
0.414999992	0.953749955
0.420000017	0.932500005
0.424999982	0.931249976
0.430000007	0.931249976
0.435000002	0.942499995
0.439999998	0.954999983
0.444999993	0.948749959
0.449999988	0.951249957
0.455000013	0.921249986
0.460000008	0.898750007
0.464999974	0.923749983
0.469999999	0.909999967
0.474999994	0.897499979
0.480000019	0.927499950
0.485000014	0.913749993
0.489999980	0.903750002
0.495000005	0.918749988
0.500000000	0.938749969
0.504999995	0.928749979
0.509999990	0.944999993
0.514999986	0.932500005
0.519999981	0.948749959
0.524999976	0.948749959
0.529999971	0.943749964
0.535000026	0.928749979
0.539999962	0.919999957
0.544999957	0.904999971
0.549999952	0.916249990
0.555000007	0.922499955
0.560000002	0.938749969
0.564999998	0.927499950
0.569999993	0.930000007
0.574999988	0.935000002
0.580000043	0.946249962
0.584999979	0.933749974
0.589999974	0.942499995
0.594999969	0.942499995
0.599999964	0.932500005
0.605000019	0.924999952
0.610000014	0.917499959
0.615000010	0.907499969
0.620000005	0.887499988
0.624999940	0.893749952
0.629999995	0.887499988
0.634999990	0.893749952
0.639999986	0.873749971
0.644999981	0.873749971
0.649999976	0.886249959
0.655000031	0.906250000
