Vernier Format 2
copper Nov 6 group 2	13:37  Friday, November 10, 2017
Latest
Time	Sound Level
Time	sound
min	volts

0.000000000	1.152500033
0.002000000	1.152500033
0.004000000	1.147499919
0.006000000	1.162500024
0.007999999	1.158749938
0.010000000	1.139999986
0.011999999	1.146250010
0.014000000	1.148749948
0.015999999	1.147499919
0.017999999	1.141250014
0.020000000	1.146250010
0.022000000	1.148749948
0.023999998	1.138749957
0.025999999	1.125000000
0.027999999	1.125000000
0.029999999	1.131250024
0.031999998	1.131250024
0.033999998	1.128749967
0.035999998	1.125000000
0.037999999	1.112499952
0.039999999	1.116249919
0.041999999	1.142499924
0.044000000	1.166249990
0.046000000	1.177500010
0.047999997	1.174999952
0.049999997	1.191249967
0.051999997	1.204999924
0.053999998	1.206249952
0.055999998	1.208750010
0.057999998	1.212499976
0.059999999	1.216249943
0.061999999	1.218750000
0.063999996	1.235000014
0.066000000	1.218750000
0.067999996	1.235000014
0.070000000	1.237499952
0.071999997	1.252499938
0.073999994	1.231249928
0.075999998	1.228749990
0.078000002	1.233749986
0.079999998	1.212499976
0.081999995	1.213750005
0.083999999	1.208750010
0.085999995	1.199999928
0.088000000	1.203750014
0.089999996	1.226249933
0.092000000	1.235000014
0.093999997	1.225000024
0.095999993	1.213750005
0.097999997	1.209999919
0.099999994	1.220000029
0.101999998	1.226249933
0.103999995	1.225000024
0.105999999	1.204999924
0.107999995	1.193750024
0.109999999	1.192499995
0.111999996	1.207499981
0.113999993	1.208750010
0.115999997	1.209999919
0.117999993	1.198750019
0.119999997	1.189999938
0.121999994	1.204999924
0.123999998	1.213750005
0.126000002	1.208750010
0.127999991	1.191249967
0.129999995	1.177500010
0.131999999	1.188750029
0.133999988	1.158749938
0.135999992	1.144999981
0.137999997	1.162500024
0.140000001	1.164999962
0.142000005	1.161249995
0.143999994	1.167500019
0.145999998	1.167500019
0.147999987	1.178749919
0.149999991	1.182500005
0.151999995	1.171249986
0.153999984	1.156250000
0.156000003	1.136250019
0.158000007	1.138749957
0.159999996	1.128749967
0.162000000	1.151250005
0.163999990	1.141250014
0.165999994	1.142499924
0.167999998	1.169999957
0.169999987	1.202499986
0.171999991	1.204999924
0.173999995	1.216249943
0.175999999	1.227499962
0.178000003	1.220000029
0.179999992	1.222499967
0.181999996	1.218750000
0.184000000	1.213750005
0.185999990	1.192499995
0.187999994	1.202499986
0.189999983	1.187500000
0.191999987	1.178749919
0.194000006	1.176249981
0.195999995	1.169999957
0.197999999	1.154999971
0.199999988	1.187500000
0.201999992	1.187500000
0.203999996	1.169999957
0.205999985	1.173749924
0.207999989	1.168749928
0.209999979	1.197499990
0.211999997	1.217499971
0.214000002	1.227499962
0.215999991	1.233749986
0.217999995	1.245000005
0.219999999	1.241249919
0.221999988	1.206249952
0.223999992	1.189999938
0.225999981	1.192499995
0.227999985	1.191249967
0.230000004	1.201249957
0.231999993	1.208750010
0.233999997	1.218750000
0.235999987	1.218750000
0.237999991	1.235000014
0.239999995	1.230000019
0.241999984	1.223749995
0.243999988	1.217499971
0.245999992	1.226249933
0.247999996	1.214999914
0.250000000	1.207499981
0.252000004	1.201249957
0.254000008	1.213750005
0.255999982	1.216249943
0.257999986	1.233749986
0.259999990	1.238749981
0.261999995	1.238749981
0.263999999	1.243749976
