Vernier Format 2
October 30 group 2	13:35  Friday, November 10, 2017
Latest
Time	Sound Level
Time	sound
min	volts

0.000000000	0.608749986
0.005000000	0.625000000
0.010000000	0.634999990
0.015000001	0.638749957
0.020000000	0.653750002
0.024999999	0.658749998
0.030000001	0.662499964
0.035000000	0.654999971
0.039999999	0.651250005
0.044999998	0.657499969
0.049999997	0.668749988
0.055000000	0.657499969
0.060000002	0.654999971
0.064999998	0.662499964
0.070000000	0.662499964
0.074999996	0.666249990
0.079999998	0.676249981
0.085000001	0.673749983
0.089999996	0.656250000
0.094999999	0.676249981
0.099999994	0.673749983
0.105000004	0.677500010
0.109999999	0.672500014
0.115000002	0.688749969
0.120000005	0.680000007
0.125000000	0.669999957
0.129999995	0.669999957
0.134999990	0.668749988
0.140000001	0.677500010
0.145000011	0.688749969
0.149999991	0.686249971
0.155000001	0.686249971
0.159999996	0.681249976
0.165000007	0.681249976
0.170000002	0.673749983
0.174999997	0.681249976
0.179999992	0.662499964
0.185000002	0.652499974
0.189999998	0.656250000
0.194999993	0.652499974
0.199999988	0.654999971
0.204999998	0.656250000
0.210000008	0.656250000
0.215000004	0.653750002
0.219999999	0.652499974
0.224999994	0.652499974
0.230000004	0.672500014
0.234999999	0.678749979
0.240000010	0.689999998
0.244999990	0.689999998
0.250000000	0.688749969
0.254999995	0.671249986
0.259999990	0.691249967
0.264999986	0.677500010
0.269999981	0.646250010
0.274999976	0.659999967
0.280000001	0.656250000
0.284999996	0.666249990
0.290000021	0.664999962
0.294999987	0.675000012
0.299999982	0.681249976
0.305000007	0.680000007
0.310000002	0.673749983
0.314999998	0.671249986
0.319999993	0.664999962
0.324999988	0.676249981
0.330000013	0.672500014
0.334999979	0.689999998
0.340000004	0.668749988
0.344999999	0.673749983
0.349999994	0.677500010
0.355000019	0.677500010
0.359999985	0.661249995
0.365000010	0.672500014
0.370000005	0.667499959
0.375000000	0.652499974
0.379999995	0.653750002
0.384999990	0.648750007
0.389999986	0.676249981
0.395000011	0.673749983
0.399999976	0.680000007
0.405000001	0.676249981
0.409999996	0.686249971
0.414999992	0.675000012
0.420000017	0.669999957
0.424999982	0.669999957
0.430000007	0.685000002
0.435000002	0.682500005
0.439999998	0.682500005
0.444999993	0.685000002
0.449999988	0.685000002
0.455000013	0.681249976
0.460000008	0.692499995
0.464999974	0.683749974
0.469999999	0.677500010
0.474999994	0.685000002
0.480000019	0.683749974
0.485000014	0.669999957
0.489999980	0.675000012
0.495000005	0.661249995
0.500000000	0.673749983
0.504999995	0.676249981
0.509999990	0.671249986
0.514999986	0.659999967
0.519999981	0.652499974
0.524999976	0.646250010
0.529999971	0.647499979
0.535000026	0.637499988
0.539999962	0.642499983
0.544999957	0.649999976
0.549999952	0.654999971
0.555000007	0.659999967
0.560000002	0.656250000
0.564999998	0.653750002
0.569999993	0.669999957
0.574999988	0.682500005
0.580000043	0.687500000
0.584999979	0.678749979
0.589999974	0.678749979
0.594999969	0.683749974
0.599999964	0.693749964
0.605000019	0.691249967
0.610000014	0.693749964
0.615000010	0.682500005
0.620000005	0.685000002
0.624999940	0.673749983
0.629999995	0.658749998
0.634999990	0.661249995
0.639999986	0.644999981
0.644999981	0.646250010
0.649999976	0.652499974
0.655000031	0.648750007
0.660000026	0.654999971
